ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
132303;spoortak;550_912ApV_25.9;550;b;Leeuwarden;25,852;912A;L+R;550;b;Leeuwarden;25,883;912B;L+R;p;0,032;2011-11-30;ProRail;0,031798
132304;spoortak;550_912AR_25.9;550;b;Leeuwarden;25,851;912A;RE;550;b;Leeuwarden;26,019;SJ_912AR;V;;0,154;2011-11-30;ProRail;0,153994
132505;spoortak;504_71AL_18.3;504;b;Heerlen;18,314;71A;L;504;b;Heerlen;18,663;81;R;;0,352;2011-11-30;ProRail;0,352097
132506;spoortak;534_1033AR_45.1;534;b;Leiden Centraal;45,068;1033A;R;534;b;Leiden Centraal;45,200;1033B;R;;0,133;2011-11-30;ProRail;0,132713
132507;spoortak;534_1027R_45.1;534;b;Leiden Centraal;45,083;1027;R;534;b;Leiden Centraal;45,229;1031B;R;;0,146;2011-11-30;ProRail;0,146090
132508;spoortak;127_108V_12.6;127;a;Roosendaal - Vlissingen;12,644;108;V;127;a;Roosendaal - Vlissingen;12,503;TI_108V;V;;0,143;2011-11-30;ProRail;0,142982
132509;spoortak;117_1847V_6.3;117;;Lunetten - Geldermalsen;6,279;1847;V;531;c;Utrecht Centraal;36,343;2829;V;;5,157;2013-08-14;ProRail;5,157129
132510;spoortak;531_537BV_36.0;531;c;Utrecht Centraal;36,005;537B;V;531;c;Utrecht Centraal;36,009;TI_537BV;V;;0,003;2013-08-14;ProRail;0,003106
132511;spoortak;517_251L_0.9;517;a;Venlo;0,919;251;L;517;a;Venlo;0,998;253B;L;;0,079;2011-11-30;ProRail;0,079445
132512;spoortak;517_253BV_1.0;517;a;Venlo;0,998;253B;V;516;a;Blerick;1,007;255;V;;0,009;2011-11-30;ProRail;0,009341
132513;spoortak;517_229BV_0.5;517;a;Venlo;0,499;229B;V;517;a;Venlo;0,919;251;V;;0,420;2011-11-30;ProRail;0,420220
132514;spoortak;519_27AR_46.1;519;a;Roermond;46,133;27A;R;519;a;Roermond;46,190;27B;R;;0,058;2011-11-30;ProRail;0,057501
132515;spoortak;536_247BV_60.8;536;;Den Haag HS;60,835;247B;V;536;;Den Haag HS;60,899;249B;L;;0,066;2011-11-30;ProRail;0,065580
132516;spoortak;070_317AR_25.1;070;;Schin op Geul - Maastricht;25,128;317A;R;070;;Schin op Geul - Maastricht;25,066;317B;R;;0,063;2011-11-30;ProRail;0,062516
132517;spoortak;212_215L_45.0;212;;Winterswijk - Zevenaar;45,006;215;L;212;;Winterswijk - Zevenaar;45,512;223;R;;0,506;2013-11-04;ProRail;0,506310
132708;spoortak;543_161BV_45.2;543;c;Hengelo;45,189;161B;V;543;c;Hengelo;45,380;183B;LE;;0,176;2011-11-30;ProRail;0,175905
132709;spoortak;543_221BV_16.0;543;b;Hengelo;16,014;221B;V;026;;Hengelo - Oldenzaal Grens;25,938;231A;V;;9,951;2011-11-30;ProRail;9,951488
132710;spoortak;602_219L_77.2;602;b;Herfte Aansl.;77,187;219;L;602;b;Herfte Aansl.;77,263;221A;V;;0,077;2011-11-30;ProRail;0,077035
132711;spoortak;617_1255V_42.6;617;a;Boxtel;42,562;1255;V;054;a;Boxtel - Eindhoven;46,884;1301A;V;;4,324;2011-11-30;ProRail;4,324478
132712;spoortak;054_1341AR_52.7;054;a;Boxtel - Eindhoven;52,697;1341A;R;054;a;Boxtel - Eindhoven;52,852;1341B;R;;0,156;2011-11-30;ProRail;0,155968
132713;spoortak;054_1345BV_53.2;054;a;Boxtel - Eindhoven;53,165;1345B;V;054;a;Boxtel - Eindhoven;53,189;1347A;V;;0,024;2011-11-30;ProRail;0,024043
132714;spoortak;054_1347AL_53.2;054;a;Boxtel - Eindhoven;53,189;1347A;L;054;a;Boxtel - Eindhoven;54,224;1373B;R;;1,038;2011-11-30;ProRail;1,037619
132715;spoortak;054_1367BL_53.7;054;a;Boxtel - Eindhoven;53,696;1367B;L;054;a;Boxtel - Eindhoven;53,632;9005;L;;0,064;2011-11-30;ProRail;0,064186
132716;spoortak;503_107BV_43.6;503;c;Deventer;43,556;107B;V;503;c;Deventer;43,230;113A;V;;0,331;2011-11-30;ProRail;0,331075
132717;spoortak;609_79BpV_27.9;609;;Zutphen;27,870;79B;L+R;609;;Zutphen;27,901;81A;L+R;p;0,032;2011-11-30;ProRail;0,031591
132718;spoortak;609_79BqV_27.9;609;;Zutphen;27,869;79B;L+R;609;;Zutphen;27,901;81A;L+R;q;0,032;2011-11-30;ProRail;0,031743
132719;spoortak;609_95AL_27.6;609;;Zutphen;27,579;95A;L;609;;Zutphen;27,516;97B;R;;0,064;2011-11-30;ProRail;0,064158
132096;spoortak;133_1087AL_15.0;133;;Amsterdam Riekerpolder - Warmond;14,980;1087A;L;133;;Amsterdam Riekerpolder - Warmond;15,082;1087B;L;;0,102;2011-11-30;ProRail;0,102467
132097;spoortak;133_1071V_14.6;133;;Amsterdam Riekerpolder - Warmond;14,605;1071;V;133;;Amsterdam Riekerpolder - Warmond;15,082;1087B;R;;0,478;2011-11-30;ProRail;0,477713
132098;spoortak;513_45L_24.6;513;a;Geldermalsen;24,588;45;L;118;b;Geldermalsen - Dordrecht;50,828;105;V;;4,930;2011-11-30;ProRail;4,930037
132099;spoortak;118_73L_58.7;118;b;Geldermalsen - Dordrecht;58,705;73;L;118;b;Geldermalsen - Dordrecht;58,115;85;R;;0,592;2011-11-30;ProRail;0,592064
132100;spoortak;486_411BpV_77.5;486;b;Amsterdam Westhaven (gebied);77,537;411B;L+R;486;b;Amsterdam Westhaven (gebied);77,505;415A;L+R;p;0,032;2011-11-30;ProRail;0,031925
132101;spoortak;558_1001AR_58.5;558;c;Amsterdam Riekerpolder;58,487;1001A;R;133;;Amsterdam Riekerpolder - Warmond;8,922;1025B;L;;0,435;2011-11-30;ProRail;0,434763
132102;spoortak;133_1025BV_8.9;133;;Amsterdam Riekerpolder - Warmond;8,922;1025B;V;133;;Amsterdam Riekerpolder - Warmond;9,917;1301A;V;;0,994;2011-11-30;ProRail;0,994368
132103;spoortak;115_11AL_5.5;115;a;Schiedam Centrum - Hoek van Holland Strand;5,517;11A;LE;115;a;Schiedam Centrum - Hoek van Holland Strand;5,577;11B;L;;0,045;2011-11-30;ProRail;0,044534
132104;spoortak;115_9BqV_5.5;115;a;Schiedam Centrum - Hoek van Holland Strand;5,548;9B;L+R;115;a;Schiedam Centrum - Hoek van Holland Strand;5,517;11A;L+R;q;0,031;2011-11-30;ProRail;0,031367
132105;spoortak;115_9AL_5.5;115;a;Schiedam Centrum - Hoek van Holland Strand;5,484;9A;L;115;a;Schiedam Centrum - Hoek van Holland Strand;5,548;9B;LE;;0,049;2011-11-30;ProRail;0,049061
132305;spoortak;550_910AL_25.8;550;b;Leeuwarden;25,813;910A;LE;550;b;Leeuwarden;25,883;912B;LE;;0,038;2011-11-30;ProRail;0,038097
132306;spoortak;519_19AL_45.9;519;a;Roermond;45,867;19A;L;519;a;Roermond;46,023;39A;V;;0,156;2011-11-30;ProRail;0,156059
132307;spoortak;519_23AL_46.0;519;a;Roermond;46,045;23A;L;519;a;Roermond;46,356;53A;V;;0,311;2011-11-30;ProRail;0,311471
132308;spoortak;519_21R_46.0;519;a;Roermond;45,987;21;R;519;a;Roermond;46,045;23A;V;;0,058;2011-11-30;ProRail;0,058237
132309;spoortak;519_23BqV_46.1;519;a;Roermond;46,119;23B;L+R;519;a;Roermond;46,088;25;L+R;q;0,031;2011-11-30;ProRail;0,031423
132310;spoortak;519_43R_46.2;519;a;Roermond;46,216;43;R;519;a;Roermond;46,167;TI_43R;V;;0,048;2011-11-30;ProRail;0,048261
132311;spoortak;519_43V_46.2;519;a;Roermond;46,216;43;V;519;a;Roermond;46,297;45;L;;0,082;2011-11-30;ProRail;0,082434
132312;spoortak;519_67V_46.7;519;a;Roermond;46,677;67;V;519;a;Roermond;46,715;69;R;;0,037;2011-11-30;ProRail;0,037062
132313;spoortak;071_5BV_20.0;071;;Eijsden - Maastricht;19,977;5B;V;071;;Eijsden - Maastricht;27,883;29;L;;7,905;2011-11-30;ProRail;7,905227
132314;spoortak;127_461BpV_73.2;127;a;Roosendaal - Vlissingen;73,156;461B;L+R;127;a;Roosendaal - Vlissingen;73,124;463;L+R;p;0,031;2011-11-30;ProRail;0,031481
