ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG
2169858;563_167AR_56.8;Onbenoemd;S;0,455;0,547;2013-11-26;;
2169859;563_167AR_56.8;Onbenoemd;S;0,048;0,174;2013-11-26;;
2169860;540_169AL_82.0;Onbenoemd;S;0,038;0,045;2013-11-26;;
2169861;531_513R_35.8;Onbenoemd;S;0,016;0,027;2013-11-26;;
2169862;007_151V_4.3;Onbenoemd;S;3,785;4,018;2013-11-26;;
2169863;564_215AR_59.8;Onbenoemd;S;0,048;0,068;2013-11-26;;
2169864;625_305BV_14.5;Onbenoemd;S;0,000;0,012;2013-11-26;;
2169865;924_1755L_35.5;Onbenoemd;S;0,026;0,032;2013-11-26;;
2169867;506_253AR_45.3;Onbenoemd;S;0,038;0,048;2013-11-26;;
2169868;950_931V_17.8;Onbenoemd;S;0,379;0,549;2013-11-26;;
2169870;564_954V_23.7;Onbenoemd;S;0,000;0,014;2013-11-26;;
2169872;062_395BV_30.8;Onbenoemd;S;7,092;7,371;2013-11-26;;
2169873;062_395BV_30.8;Onbenoemd;S;0,000;0,038;2013-11-26;;
2169874;950_823BV_10.8;Onbenoemd;S;0,663;0,767;2013-11-26;;
2169875;950_823BV_10.8;Onbenoemd;S;0,000;0,083;2013-11-26;;
2169876;612_9L_60.6;Onbenoemd;S;6,279;6,456;2013-11-26;;
2169877;612_9L_60.6;Onbenoemd;S;0,048;0,121;2013-11-26;;
2170297;664_901AL_42.8;Onbenoemd;S;0,099;0,166;2013-11-26;;
2170298;950_9L_6.4;Onbenoemd;S;0,016;0,041;2013-11-26;;
2170299;938_4633V_3.6;Onbenoemd;S;0,000;0,012;2013-11-26;;
2170301;478_1141R_0.7;Onbenoemd;S;0,832;0,907;2013-11-26;;
2169966;564_1335R_23.6;Onbenoemd;S;0,017;0,024;2013-11-26;;
2169967;115_117AR_22.3;Onbenoemd;S;0,032;0,120;2013-11-26;;
2169968;664_915R_43.3;Onbenoemd;S;0,304;0,343;2013-11-26;;
2169969;664_915R_43.3;Onbenoemd;S;0,017;0,054;2013-11-26;;
2169970;517_69L_69.3;Onbenoemd;S;0,018;0,029;2013-11-26;;
2169971;506_103AR_44.0;Onbenoemd;S;0,017;0,025;2013-11-26;;
2169972;586_279BV_81.2;Onbenoemd;S;0,000;0,001;2013-11-26;;
2169973;588_801L_1.6;Onbenoemd;S;0,028;0,036;2013-11-26;;
2169974;503_167AL_42.4;Onbenoemd;S;0,017;0,031;2013-11-26;;
2169975;553_211R_21.3;Onbenoemd;S;0,018;0,267;2013-11-26;;
2169976;605_3AR_33.4;Onbenoemd;S;0,029;0,031;2013-11-26;;
2169977;611_39V_106.1;Onbenoemd;S;0,000;0,032;2013-11-26;;
2169978;127_503V_73.8;Onbenoemd;S;0,000;0,530;2013-11-26;;
2169979;533_1139AL_15.9;Onbenoemd;S;0,032;0,038;2013-11-26;;
2169980;506_619V_43.8;Onbenoemd;S;0,000;0,071;2013-11-26;;
2169981;501_903L_79.7;Onbenoemd;S;0,027;0,036;2013-11-26;;
2169982;544_1117AL_1.1;Onbenoemd;S;0,048;0,062;2013-11-26;;
2169983;509_9BV_35.1;Onbenoemd;S;0,000;0,006;2013-11-26;;
2169984;504_901R_17.3;Onbenoemd;S;0,029;0,192;2013-11-26;;
2169985;543_169AL_45.2;Onbenoemd;S;0,027;0,036;2013-11-26;;
2169986;514_101AL_17.1;Onbenoemd;S;0,027;0,036;2013-11-26;;
2169987;614_111AR_47.5;Onbenoemd;S;0,341;0,352;2013-11-26;;
2169988;614_111AR_47.5;Onbenoemd;S;0,029;0,099;2013-11-26;;
2169989;516_271L_1.5;Onbenoemd;S;0,029;0,037;2013-11-26;;
2169990;618_21BL_58.5;Onbenoemd;S;0,759;0,870;2013-11-26;;
2169991;618_21BL_58.5;Onbenoemd;S;0,017;0,185;2013-11-26;;
2169992;555_520R_83.3;Onbenoemd;S;0,027;0,036;2013-11-26;;
2169993;112_13R_69.3;Onbenoemd;S;0,016;0,063;2013-11-26;;
2165490;501_959V_81.4;39;S;0,001;0,165;2013-11-26;;
2165491;608_907L_88.2;8;S;0,029;0,170;2013-11-26;;
2165494;927_13V_904.4;C15;S;0,022;0,556;2013-11-26;;
2165495;506_657R_44.4;17;S;0,024;0,136;2013-11-26;;
2165594;114_393BV_53.9;FJ;S;14,348;17,062;2013-11-26;;
2165595;527_117L_17.4;127;S;0,107;0,977;2013-11-26;;
2165596;563_167BV_56.9;404;S;0,075;0,353;2013-11-26;;
2165597;924_347AR_36.0;283;S;0,017;0,154;2013-11-26;;
2165598;017_351BR_31.9;HG;S;0,276;4,975;2013-11-26;;
2165599;950_1003R_39.8;780;S;0,067;0,855;2013-11-26;;
2167966;109_231AL_32.5;Onbenoemd;S;0,048;0,223;2013-11-26;;
2167967;908_75AR_24.8;Onbenoemd;S;0,027;0,426;2013-11-26;;
2167968;469_336BR_601.9;Onbenoemd;S;0,016;0,020;2013-11-26;;
2167969;080_3407V_9.8;Onbenoemd;S;1,254;1,330;2013-11-26;;
2167970;080_3407V_9.8;Onbenoemd;S;0,000;0,016;2013-11-26;;
2167971;950_411R_26.9;Onbenoemd;S;0,814;0,865;2013-11-26;;
2167972;950_411R_26.9;Onbenoemd;S;0,027;0,058;2013-11-26;;
2167973;047_2003V_24.1;Onbenoemd;S;0,000;0,020;2013-11-26;;
2167974;131_2L_16.7;Onbenoemd;S;0,028;0,032;2013-11-26;;
2167975;506_612V_43.9;Onbenoemd;S;0,000;0,013;2013-11-26;;
2167976;503_93L_43.9;Onbenoemd;S;0,211;0,224;2013-11-26;;
2167977;503_93L_43.9;Onbenoemd;S;0,017;0,053;2013-11-26;;
2167978;586_133AV_80.7;Onbenoemd;S;0,328;0,334;2013-11-26;;
2167979;543_137AV_44.7;Onbenoemd;S;4,131;4,611;2013-11-26;;
2167980;543_137AV_44.7;Onbenoemd;S;0,000;0,117;2013-11-26;;
2167981;105_1201AL_18.2;Onbenoemd;S;0,048;0,183;2013-11-26;;
2167982;122_7V_3.0;Onbenoemd;S;0,102;0,159;2013-11-26;;
2167983;517_75R_69.3;Onbenoemd;S;0,032;0,044;2013-11-26;;
2167984;517_41BV_69.1;Onbenoemd;S;0,000;0,013;2013-11-26;;
2167985;667_2427V_243.8;Onbenoemd;S;8,432;8,498;2013-11-26;;
2167986;667_2427V_243.8;Onbenoemd;S;6,563;6,633;2013-11-26;;
2167987;667_2427V_243.8;Onbenoemd;S;3,701;3,751;2013-11-26;;
