ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
26438021;820_951V_200.0;820_b;0,000000;0,185000;2015-06-04
26446242;550_907R_25.7;550__;0,000000;0,209000;2015-06-04
26434914;478_1643L_2.2;478_a;0,000000;0,060000;2015-06-04
26433872;210_51V_34.2;607_b;8,691000;9,341000;2015-06-04
26446224;586_141AL_80.8;586__;0,000000;0,036000;2015-06-04
26443862;517_201AL_0.1;517_a;0,000000;0,131000;2015-06-04
26441483;618_853L_50.6;618_b;0,000000;0,326000;2015-06-04
26431347;561_97AV_59.7;564_c;0,121000;0,274000;2015-06-04
26443012;476_86R_200.8;476_b;0,000000;0,064000;2015-06-04
26446214;128_21AL_12.4;128__;0,000000;0,132000;2015-06-04
26439409;305_14V_15.2;305_a;0,000000;0,055000;2015-06-04
26431816;664_239R_43.1;664_b;0,000000;0,078000;2015-06-04
26442819;020_3AV_60.2;020__;0,000000;12,804000;2015-06-04
26442759;624_149AL_31.6;624__;0,000000;0,109000;2015-06-04
26431642;831_901R_101.9;831_a;0,000000;0,018000;2015-06-04
26439947;517_37BR_69.1;517_b;0,000000;0,036000;2015-06-04
26435739;618_21BL_58.5;054_a;0,716000;0,917000;2015-06-04
26435288;564_1365L_23.8;564_b;0,000000;0,035000;2015-06-04
26434885;617_1195AR_40.0;617_a;0,000000;2,476000;2015-06-04
26444122;927_9AR_904.3;927__;0,000000;0,078000;2015-06-04
26437418;035_91AV_45.8;035__;0,000000;7,647000;2015-06-04
26440228;527_79AL_17.1;527_c;0,000000;0,066000;2015-06-04
26441543;924_2367AqV_36.5;924_a;0,000000;0,034000;2015-06-04
26439920;516_904L_1.9;516_a;0,000000;0,054000;2015-06-04
26435218;625_337AL_14.9;625_b;0,000000;0,140000;2015-06-04
26445684;624_157R_31.9;624__;0,000000;0,053000;2015-06-04
26439780;087_3R_21.1;087__;0,000000;0,115000;2015-06-04
26437195;506_553AqV_43.5;506_b;0,000000;0,031000;2015-06-04
26436182;614_18L_47.4;614_c;0,000000;0,273000;2015-06-04
26443606;501_133pV_80.7;501__;0,000000;0,032000;2015-06-04
26439884;098_3871L_28.9;098__;0,000000;0,302000;2015-06-04
26432722;508_2011L_90.2;508__;0,000000;0,100000;2015-06-04
26443219;514_951R_65.3;514_b;0,000000;0,113000;2015-06-04
26442950;937_28L_68.5;937__;0,000000;0,339000;2015-06-04
26438160;520_149BpV_0.8;520_a;0,000000;0,034000;2015-06-04
26439445;527_95qV_17.3;527_c;0,000000;0,035000;2015-06-04
26444943;013_233AL_88.4;502_b;11,533000;11,788000;2015-06-04
26433650;527_901R_17.1;527_c;0,000000;0,627000;2015-06-04
26446175;063_31BV_13.8;063__;0,000000;5,608000;2015-06-04
26437650;550_975ApV_25.7;550__;0,000000;0,034000;2015-06-04
26439733;544_1135AL_1.3;544_a;0,000000;0,122000;2015-06-04
26441092;545_131BR_23.0;545_b;0,000000;0,051000;2015-06-04
26439595;527_79BqV_17.2;527_c;0,000000;0,034000;2015-06-04
26435999;609_245L_28.0;609__;0,000000;0,043000;2015-06-04
26434318;603_1022L_3.8;603_a;0,000000;0,324000;2015-06-04
26445016;586_53AL_80.3;586__;0,000000;0,057000;2015-06-04
26432270;531_1269AL_34.6;531_c;0,000000;0,425000;2015-06-04
26434800;625_315AL_14.4;625_b;0,000000;0,060000;2015-06-04
26434655;537_251BL_2.8;106__;0,618000;1,720000;2015-06-04
26445547;626_910ApV_32.6;626_c;0,000000;0,028000;2015-06-04
26432626;653_5L_101.9;653__;0,000000;0,712000;2015-06-04
26444662;609_131AR_26.7;609__;0,000000;0,112000;2015-06-04
26442182;823_18AL_301.1;823_a;0,587000;0,683000;2015-06-04
26442253;024_201BV_25.8;024__;0,000000;0,004000;2015-06-04
26446042;527_57BV_16.9;527_c;0,000000;0,271000;2015-06-04
26439637;517_63qV_69.3;517_b;0,000000;0,034000;2015-06-04
26438022;938_4621R_3.5;938__;0,000000;0,050000;2015-06-04
26432861;542_1271BV_30.0;542_a;0,000000;0,622000;2015-06-04
26434963;625_307AR_14.5;625_b;0,000000;0,060000;2015-06-04
26436595;478_1025R_0.1;478_a;0,000000;0,515000;2015-06-04
26443179;525_429BR_50.1;525_a;0,000000;0,486000;2015-06-04
26444819;609_13BV_29.1;609__;0,000000;0,133000;2015-06-04
26441425;950_921AqV_17.3;950_a;0,000000;0,031000;2015-06-04
26434825;132_942R_49.1;132__;0,000000;0,035000;2015-06-04
26441329;513_47AR_24.6;513_a;0,000000;0,491000;2015-06-04
26444890;504_67L_18.3;504_b;0,000000;0,092000;2015-06-04
26432387;610_149AL_14.1;610__;0,000000;0,059000;2015-06-04
26438617;938_4535L_1.3;938__;0,000000;0,052000;2015-06-04
26444096;555_293AR_83.3;555__;0,000000;0,074000;2015-06-04
26438590;531_1315BL_34.7;531_c;0,000000;0,062000;2015-06-04
26439498;080_3273V_6.7;080_a;0,000000;1,202000;2015-06-04
26432724;586_57AL_80.3;586__;0,000000;0,048000;2015-06-04
26437338;564_435AL_23.6;564_b;0,000000;0,058000;2015-06-04
26432355;950_638R_7.1;950_a;0,000000;0,403000;2015-06-04
26444787;534_1023BV_45.1;534_b;0,000000;0,026000;2015-06-04
26434753;536_225BL_60.7;536__;0,000000;0,041000;2015-06-04
26443631;124_908V_2.8;124_a;0,000000;0,037000;2015-06-04
26431759;520_219BV_1.3;520_a;0,000000;0,306000;2015-06-04
26431181;539_45AV_79.2;539__;0,000000;0,159000;2015-06-04
26439220;553_197R_20.8;553_c;0,000000;0,058000;2015-06-04
26437791;560_63BpV_24.8;560__;0,000000;0,034000;2015-06-04
