ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
161674476;132_293BV_40.2;w293Bv-w295Av;S;0,000;0,107;2019-06-13;;;293B;295A;WISSEL;WISSEL
161674477;544_1065AR_23.3;w1065Ar-w1067Bl;S;0,048;0,200;2019-06-13;;;1065A;1067B;WISSEL;WISSEL
161674478;503_89AV_44.0;sOK-w241v;S;8,309;8,509;2019-06-13;;;240;241;BED_SEIN;WISSEL
161673226;543_221AR_16.0;HO;S;0,271;9,830;2019-06-13;;;220;232;BED_SEIN;BED_SEIN
161673227;545_924R_22.3;77;S;0,027;0,144;2019-06-13;;;924;SJ_924R;WISSEL;STOOTJUK
161673228;514_943L_18.1;3r;S;0,028;0,301;2019-06-13;;;943;SJ_943L;WISSEL;STOOTJUK
161673229;586_89AL_80.5;3a;S;0,040;0,227;2019-06-13;;;86;160;BED_SEIN;BED_SEIN
161673230;542_1169R_29.1;1b;S;0,090;0,285;2019-06-13;;;1168;1196;BED_SEIN;BED_SEIN
161673231;520_1006R_36.7;28;S;0,029;0,372;2019-06-13;;;1006;SJ_1006R;WISSEL;STOOTJUK
161673232;534_1053BV_45.6;510b;S;0,006;0,350;2019-06-13;;;1058;1098;BED_SEIN;BED_SEIN
161673233;163_253BV_43.4;85b;S;0,013;0,049;2019-06-13;;;256;SJ_253BV;BED_SEIN;STOOTJUK
161673234;924_3551L_35.5;254;S;0,069;0,133;2019-06-13;;;3550;SJ_3551L;BED_SEIN;STOOTJUK
161673235;519_51BV_46.4;304b;S;0,013;0,307;2019-06-13;;;56;88;BED_SEIN;BED_SEIN
161673236;127_542L_49.8;517;S;0,027;0,221;2019-06-13;;;542;SJ_542L;WISSEL;STOOTJUK
161673036;133_1019R_8.7;RS;S;0,571;6,840;2019-06-13;;;1000;1506;BED_SEIN;BED_SEIN
161673037;212_133V_20.8;VT;S;0,000;6,271;2019-06-13;;;133;145;WISSEL;WISSEL
161673038;851_910L_100.5;45;S;0,061;0,139;2019-06-13;;;;915;STOP_BD;WISSEL
161673039;545_974L_22.8;45;S;0,028;0,310;2019-06-13;;;974;SJ_974L;WISSEL;STOOTJUK
161673040;161_2705L_35.4;GG12;S;1,754;2,266;2019-06-13;;;2726;2730;BED_SEIN;BED_SEIN
161673041;105_95L_23.5;102;S;0,107;0,871;2019-06-13;;;98;114;BED_SEIN;BED_SEIN
161673042;486_901BR_75.4;1103;S;0,016;0,099;2019-06-13;;;901B;908;WISSEL;WISSEL
161673043;523_5051AL_177.6;523;S;0,049;0,363;2019-06-13;;;5051A;5022;WISSEL;BED_SEIN
161674808;817_75V_206.6;w75v-sj;S;0,000;0,319;2019-06-13;;;75;SJ_75V;WISSEL;STOOTJUK
161674809;506_115V_44.1;w115v-w119Av;S;0,000;0,006;2019-06-13;;;115;119A;WISSEL;WISSEL
161674154;212_215L_45.0;w215l-s802;S;0,032;0,063;2019-06-13;;;215;218;WISSEL;BED_SEIN
161674155;133_1121AR_19.0;w1121Ar-w1123Av;S;0,048;0,105;2019-06-13;;;1121A;1123A;WISSEL;WISSEL
