SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
625_271BV_16.2;;;;;;;;;;;;;;
618_17BV_58.8;;;;;;;;;;;;;;
467_07V_102.1;;;;;;;;;;;;;;
534_1111AR_46.2;;;;;;;;;;;;;;
618_57BpV_58.9;;;;;;;;;;;;;;
624_165BR_32.2;;;;;;;;;;;;;;
123_65AR_20.0;;;;;;;;;;;;;;
516_945L_75.0;;;;;;;;;;;;;;
011_311L_69.8;;;;;;;;;;;;;;
924_3599AL_35.8;;;;;;;;;;;;;;
080_3295L_7.9;;;;;;;;;;;;;;
536_243BpV_60.7;;;;;;;;;;;;;;
950_913R_6.5;;;;;;;;;;;;;;
155_4361R_74.2;;;;;;;;;;;;;;
927_943V_905.6;;;;;;;;;;;;;;
550_941R_25.4;;;;;;;;;;;;;;
609_121AR_27.3;;;;;;;;;;;;;;
518_135R_63.7;;;;;;;;;;;;;;
011_39AqV_68.8;;;;;;;;;;;;;;
528_57V_28.9;;;;;;;;;;;;;;
926_4067L_0.8;;;;;;;;;;;;;;
534_1031R_45.1;;;;;;;;;;;;;;
517_37BqV_69.1;;;;;;;;;;;;;;
433_80V_5.5;;;;;;;;;;;;;;
129_51R_30.7;;;;;;;;;;;;;;
557_70V_27.4;;;;;;;;;;;;;;
609_91AR_27.6;;;;;;;;;;;;;;
545_109AR_22.7;;;;;;;;;;;;;;
129_49V_30.7;;;;;;;;;;;;;;
513_59R_25.2;;;;;;;;;;;;;;
927_35R_904.5;;;;;;;;;;;;;;
517_89BpV_69.5;;;;;;;;;;;;;;
545_185BL_23.4;;;;;;;;;;;;;;
544_1055BV_23.2;;;;;;;;;;;;;;
614_2161V_48.0;;;;;;;;;;;;;;
135_2003L_39.4;;;;;;;;;;;;;;
560_43AV_24.9;;;;;;;;;;;;;;
664_873AR_41.8;;;;;;;;;;;;;;
