ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
221;608_67L_88.9;Glued Tuned, type Corus 54E1;7,984;11,428;22-6-2015
222;609_135AL_26.6;Schrey & Veit, VICON-AMSA 5RQ;5,16;5,402;22-6-2015
223;609_135BV_26.5;Schrey & Veit, VICON-AMSA 5RQ;5,057;5,3;22-6-2015
224;609_5L_29.7;Clipped Tuned, type Corus 54E1;1,431;1,681;22-6-2015
225;609_7L_29.7;Clipped Tuned, type Corus 54E1;1,431;1,681;22-6-2015
226;610_151AR_14.0;Schrey & Veit, VICON-AMSA 5RQ;11,128;11,329;22-6-2015
227;610_151AR_14.0;Clipped Tuned, type Corus 54E1;10,813;11,128;22-6-2015
228;610_151AR_14.0;Schrey & Veit, VICON-AMSA 5RQ;10,334;10,674;22-6-2015
229;610_151AR_14.0;Schrey & Veit, VICON-AMSA 5RQ;3,417;3,861;22-6-2015
230;610_151BV_13.9;Schrey & Veit, VICON-AMSA 5RQ;10,552;11,227;22-6-2015
231;610_151BV_13.9;Schrey & Veit, VICON-AMSA 5RQ;3,356;3,802;22-6-2015
232;038_285AL_95.9;Schrey & Veit, VICON-AMSA 54VS;5,542;5,842;17-12-2015
233;038_285AL_95.9;Schrey & Veit, VICON-AMSA 54VS;4,764;5,018;17-12-2015
234;038_285AL_95.9;Schrey & Veit, VICON-AMSA 54VS;3,318;3,406;17-12-2015
235;038_285AL_95.9;Schrey & Veit, VICON-AMSA 54VS;3,053;3,134;17-12-2015
236;038_285AL_95.9;Schrey & Veit, VICON-AMSA 54VS;1,296;2,208;17-12-2015
237;038_285BV_96.0;Schrey & Veit, VICON-AMSA 54VS;3,179;3,263;22-6-2015
238;038_285BV_96.0;Schrey & Veit, VICON-AMSA 54VS;3,401;3,491;22-6-2015
239;038_285BV_96.0;Schrey & Veit, VICON-AMSA 54VS;4,259;4,513;22-6-2015
240;038_285BV_96.0;Schrey & Veit, VICON-AMSA 54VS;5,871;5,959;22-6-2015
241;038_285BV_96.0;Schrey & Veit, VICON-AMSA 54VS;6,143;6,224;22-6-2015
242;038_285BV_96.0;Schrey & Veit, VICON-AMSA 54VS;7,069;7,981;22-6-2015
243;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,914;10,524;22-6-2015
244;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,174;9,894;22-6-2015
245;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,914;9,149;22-6-2015
246;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,454;8,784;22-6-2015
247;618_273AR_49.5;Glued Tuned, type Corus 54E1;7,044;7,404;22-6-2015
248;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;5,744;7,044;22-6-2015
249;618_273AR_49.5;Schrey & Veit, VICON-AMSA 5RQ;2,374;3,024;22-6-2015
250;618_273AR_49.5;Clipped Tuned, type Corus 54E1;0,844;1,251;22-6-2015
251;618_273AR_49.5;Clipped Tuned, type Corus 54E1;0,463;0,818;22-6-2015
252;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,854;10,464;22-6-2015
253;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;9,114;9,834;22-6-2015
254;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,854;9,089;22-6-2015
255;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;8,394;8,724;22-6-2015
256;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;5,684;7,344;22-6-2015
257;618_273BV_49.5;Schrey & Veit, VICON-AMSA 5RQ;2,314;2,964;22-6-2015
258;618_273BV_49.5;Clipped Tuned, type Corus 54E1;0,784;1,191;22-6-2015
259;618_273BV_49.5;Clipped Tuned, type Corus 54E1;0,403;0,752;22-6-2015
260;620_1AV_41.6;Schrey & Veit, VICON-AMSA 5RQ;2,971;3,169;22-6-2015
261;620_1AV_41.6;Schrey & Veit, VICON-AMSA 5RQ;2,508;2,719;22-6-2015
262;620_3AV_41.6;Schrey & Veit, VICON-AMSA 5RQ;2,967;3,169;22-6-2015
263;620_3AV_41.6;Schrey & Veit, VICON-AMSA 5RQ;2,519;2,719;22-6-2015
264;620_97AR_42.6;Schrey & Veit, VICON-AMSA 5RQ;5,165;5,465;22-6-2015
265;620_97AR_42.6;Schrey & Veit, VICON-AMSA 5RQ;5,915;6,305;22-6-2015
266;620_97AR_42.6;Clipped Tuned, type Corus 54E1;9,565;9,965;22-6-2015
267;620_97BV_42.7;Schrey & Veit, VICON-AMSA 5RQ;5,084;5,384;22-6-2015
268;620_97BV_42.7;Schrey & Veit, VICON-AMSA 5RQ;5,834;6,226;22-6-2015
269;654_409AL_49.7;Clipped Tuned, type Corus 54E1;16,437;17,493;22-6-2015
270;654_409BV_49.7;Clipped Tuned, type Corus 54E1;16,369;17,454;22-6-2015
271;011_73V_68.9;Onbekend;1,256;1,455;17-12-2015
272;528_3AR_27.9;Clipped Tuned, type Corus 54E1;0,08;0,093;22-6-2015
273;009_115AR_148.1;Clipped Tuned, type Corus 54E1;0,6;0,994;22-6-2015
274;009_115AR_148.1;Clipped Tuned, type Corus 54E1;1,162;1,265;22-6-2015
275;009_117R_148.2;Clipped Tuned, type Corus 54E1;0,533;0,662;22-6-2015
276;009_129V_148.9;Clipped Tuned, type Corus 54E1;0,382;0,468;22-6-2015
277;009_131AL_149.4;Clipped Tuned, type Corus 54E1;0,046;0,329;22-6-2015
278;009_131BV_149.4;Clipped Tuned, type Corus 54E1;0;0,275;22-6-2015
279;017_351AR_31.8;Clipped Tuned, type Corus 54E1;0,15;0,297;22-6-2015
280;017_351AV_31.8;Clipped Tuned, type Corus 54E1;0,724;0,944;22-6-2015
281;017_351BR_31.9;Clipped Tuned, type Corus 54E1;0,867;1,044;22-6-2015
282;017_9AR_49.3;Clipped Tuned, type Corus 54E1;0,059;0,176;22-6-2015
283;087_41AL_22.5;Clipped Tuned, type Corus 54E1;0,053;0,351;22-6-2015
