ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
149324457;550_908R_25.7;T;0,000;0,258;40;2018-11-28
149324750;032_365R_16.5;T;0,000;0,209;40;2018-11-28
149324751;032_365V_16.5;T;0,000;0,093;40;2018-11-28
149324752;546_1031L_12.7;T;0,000;1,107;60;2018-11-28
149324753;546_1031L_12.7;T;1,107;1,215;40;2018-11-28
149324754;546_1033L_12.7;T;0,000;0,259;70;2018-11-28
149325098;011_311R_69.8;T;0,000;0,053;40;2018-11-28
149324593;076_79L_11.4;T;0,000;0,282;40;2018-11-28
149324594;076_79R_11.4;T;0,000;0,373;40;2018-11-28
149324595;076_79V_11.4;T;0,000;0,036;40;2018-11-28
149324596;076_81R_11.5;T;0,000;0,127;40;2018-11-28
149324597;076_81V_11.5;T;0,000;0,103;40;2018-11-28
149324134;004_3BL_101.8;T;0,108;15,247;100;2018-11-28
149324135;004_3BV_101.8;T;0,000;0,075;100;2018-11-28
149324136;653_5L_101.9;T;0,000;0,599;100;2018-11-28
149324137;653_5L_101.9;T;0,599;0,712;40;2018-11-28
149324138;653_5R_101.9;T;0,000;0,072;40;2018-11-28
149324139;653_7L_102.0;T;0,000;0,634;40;2018-11-28
149324140;653_7R_102.0;T;0,000;0,510;40;2018-11-28
149324141;501_11L_79.8;T;0,000;0,076;40;2018-11-28
149324142;501_11R_79.8;T;0,000;0,066;40;2018-11-28
149324143;501_11V_79.8;T;0,000;0,353;40;2018-11-28
149325145;654_403L_49.2;T;0,000;0,110;40;2018-11-28
149324458;550_910AL_25.8;T;0,000;0,038;40;2018-11-28
149324106;203_433R_66.1;T;0,044;0,689;60;2018-11-28
149324107;203_441V_66.8;T;0,000;0,054;60;2018-11-28
149325180;011_807L_68.3;T;0,000;0,438;>=40;2018-11-28
149325181;011_807R_68.3;T;0,000;0,479;>=40;2018-11-28
149325182;011_820V_68.7;T;0,000;0,035;>=40;2018-11-28
149325183;011_821L_68.8;T;0,000;0,039;>=40;2018-11-28
149325184;011_821V_68.8;T;0,000;0,063;>=40;2018-11-28
149325185;011_822V_68.7;T;0,000;0,041;>=40;2018-11-28
149325186;011_840AR_68.8;T;0,000;0,065;>=40;2018-11-28
149325187;011_840AqV_68.8;T;0,000;0,032;40;2018-11-28
149325188;011_840BL_68.8;T;0,000;0,052;40;2018-11-28
149324422;002_347AL_50.6;T;0,000;0,108;80;2018-11-28
149324423;002_347AR_50.6;T;0,000;0,797;140;2018-11-28
149324424;002_347BV_50.7;T;0,000;0,790;140;2018-11-28
149324425;002_355AL_51.4;T;0,000;0,101;80;2018-11-28
149324426;002_355AR_51.4;T;0,000;0,248;140;2018-11-28
149324427;002_355BV_51.5;T;0,000;0,046;140;2018-11-28
149324428;002_357AL_51.5;T;0,000;11,454;140;2018-11-28
149324429;002_357AL_51.5;T;11,454;11,985;140;2018-11-28
149324430;002_357AL_51.5;T;11,985;12,167;120;2018-11-28
149325099;012_313AL_19.4;T;0,000;0,036;40;2018-11-28
149325100;012_313AR_19.4;T;0,000;0,798;80;2018-11-28
149325101;012_313BqV_19.4;T;0,000;0,032;40;2018-11-28
149324108;203_443V_66.8;T;0,000;6,715;130;2018-11-28
149324109;203_453V_73.5;T;0,000;1,218;130;2018-11-28
149324110;203_453V_73.5;T;1,218;1,458;130;2018-11-28
149324111;203_453V_73.5;T;1,458;1,493;60;2018-11-28
149324112;203_461L_75.0;T;0,000;0,144;60;2018-11-28
149324113;203_461L_75.0;T;0,144;0,345;60;2018-11-28
149324114;203_461L_75.0;T;0,345;0,354;40;2018-11-28
149324115;203_461R_75.0;T;0,000;0,143;60;2018-11-28
149324116;203_461R_75.0;T;0,143;0,344;60;2018-11-28
149324117;203_461R_75.0;T;0,344;0,358;40;2018-11-28
149324118;203_471L_75.4;T;0,000;0,073;40;2018-11-28
149324889;161_2675L_31.7;T;1,960;3,373;160;2018-11-28
149324890;161_2675L_31.7;T;3,373;3,647;200;2018-11-28
149324891;161_2675R_31.7;T;0,000;0,106;80;2018-11-28
149325102;012_315L_19.4;T;0,000;0,690;40;2018-11-28
149325103;012_315R_19.4;T;0,000;0,689;80;2018-11-28
149325104;011_315L_69.6;T;0,000;0,040;40;2018-11-28
149325105;011_315R_69.6;T;0,000;0,414;40;2018-11-28
149325106;011_317L_69.6;T;0,000;0,278;40;2018-11-28
149325107;012_323qV_20.1;T;0,000;0,031;40;2018-11-28
