VERKANTING_ID;VERK_LRS_VAN;VERK_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;DATUM_PUBLICATIE;DATUM_GOEDGEKEURD;ELEMENTTYPE;VERKANTING_VAN;VERKANTING_TOT;OVERGANGSHELLING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
517#w83R-SJ_83R#69.414637;0;2356;36ffaf42-75bf-1e7b-8678-d6cc8e4f6192;34065;36421;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#54#69.496033;0;159205;36ffaf42-75bf-1e7b-8678-d6cc8e4f6192;36421;195626;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w231R-SJ_231R#0.461303;0;35;1e0c0d46-d93b-29fe-dd3e-05fda765dff5;36492;36527;20211029;20210520;Constant;0;0;0.0;20211201;C;18
517#65#0.540349;0;156811;1e0c0d46-d93b-29fe-dd3e-05fda765dff5;36527;193338;20211029;20210520;Constant;0;0;0.0;20211201;C;18
517#4b#69.868705;0;84582;6625a482-fae4-2edb-ce3f-68b246b89f44;4500;89082;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#4b#69.925707;0;34851;6625a482-fae4-2edb-ce3f-68b246b89f44;89082;123933;20211029;20151006;Helling;0;-25;-0.71428571;20211201;C;18
517#4b#0.020258;0;8024;6625a482-fae4-2edb-ce3f-68b246b89f44;123933;131957;20211029;20151006;Constant;-25;-25;0.0;20211201;C;18
517#4b#0.020258;8024;51184;0c82da2a-af02-542c-b917-6301a8adb448;131957;175117;20211029;20151006;Constant;-25;-25;0.0;20211201;C;18
517#w141BV-w201AV#0.055966;0;12369;0c82da2a-af02-542c-b917-6301a8adb448;175117;187486;20211029;20151006;Helling;-25;-4;1.66666667;20211201;C;18
517#w159L-w201BL#69.927786;0;659;f2729b00-bdbd-37b2-8949-4e2dee236ca2;34089;34748;20211029;20150917;Constant;0;0;0.0;20211201;C;18
517#w159L-w201BL#0.038148;0;24498;f2729b00-bdbd-37b2-8949-4e2dee236ca2;34748;59246;20211029;20210502;Constant;0;0;0.0;20211201;C;18
517#w159L-w201BL#0.038148;24498;119709;148841f1-6e6e-9f96-4337-bb0342af9b2e;59246;154457;20211029;20210502;Constant;0;0;0.0;20211201;C;18
517#w85AL-SJ_85AL#69.423218;0;2628;8ab9f445-6023-8d75-2ba6-3998043f4a53;34088;36716;20211029;20150917;Constant;0;0;0.0;20211201;C;18
517#53#69.500353;0;150558;8ab9f445-6023-8d75-2ba6-3998043f4a53;36716;187274;20211029;20151006;Constant;0;0;0.0;20211201;C;18
