ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;
275;161_2221V_9.4;Clipped Tuned, type Corus 54E1;8,198;8,304;25-6-2015;
276;161_2221V_9.4;Clipped Tuned, type Corus 54E1;8,305;10,815;22-6-2015;
277;161_2223V_9.4;Clipped Tuned, type Corus 54E1;8,148;10,708;22-6-2015;
278;161_2519R_20.4;Clipped Tuned, type Corus 54E1;0,053;0,208;22-6-2015;
279;161_2521L_20.4;Clipped Tuned, type Corus 54E1;0,053;0,208;22-6-2015;
280;161_2539L_21.2;Clipped Tuned, type Corus 54E1;0,100;0,550;22-6-2015;
281;161_2539L_21.2;Clipped Tuned, type Corus 54E1;9,897;10,097;22-6-2015;
282;161_2541V_21.3;Clipped Tuned, type Corus 54E1;0,000;0,450;22-6-2015;
283;161_2541V_21.3;Clipped Tuned, type Corus 54E1;9,794;9,994;22-6-2015;
284;161_2675L_31.7;Clipped Tuned, type Corus 54E1;1,155;1,255;22-6-2015;
285;161_2675L_31.7;Clipped Tuned, type Corus 54E1;2,035;2,785;22-6-2015;
286;161_2677V_31.9;Clipped Tuned, type Corus 54E1;1,049;1,149;22-6-2015;
287;161_2677V_31.9;Clipped Tuned, type Corus 54E1;1,929;2,679;22-6-2015;
288;163_165AR_43.6;Schrey & Veit, VICON-AMSA 5RQ;0,030;0,240;22-6-2015;
289;163_919AR_43.3;Glued Tuned, type Corus 54E1;0,121;0,940;5-4-2016;
290;163_919BV_43.6;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,680;22-6-2015;
291;163_923AL_43.5;Schrey & Veit, VICON-AMSA 5RQ;0,034;0,436;22-6-2015;
292;163_927AR_43.6;Schrey & Veit, VICON-AMSA 5RQ;0,180;0,367;5-10-2015;
293;163_951BV_44.0;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,407;22-6-2015;
294;163_963AL_44.5;Schrey & Veit, VICON-AMSA 5RQ;0,044;0,263;22-6-2015;
295;163_965V_44.4;Schrey & Veit, VICON-AMSA 5RQ;0,003;0,186;22-6-2015;
296;163_967V_44.4;Schrey & Veit, VICON-AMSA 5RQ;0,010;0,264;22-6-2015;
297;163_969V_44.4;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,263;22-6-2015;
298;163_971R_44.6;Schrey & Veit, VICON-AMSA 5RQ;0,054;0,094;22-6-2015;
299;163_971R_44.6;Schrey & Veit, VICON-AMSA 5RQ;0,139;0,172;22-6-2015;
300;163_977R_44.8;Schrey & Veit, VICON-AMSA 5RQ;0,000;0,133;22-6-2015;
301;163_977V_44.8;Schrey & Veit, VICON-AMSA 5RQ;0,004;0,054;16-4-2015;
302;503_189L_40.9;Schrey & Veit, VICON-AMSA 5RQ;15,119;16,082;22-6-2015;
303;503_189L_40.9;Schrey & Veit, VICON-AMSA 54VS;16,504;17,074;22-6-2015;
304;503_189L_40.9;Clipped Tuned, type Corus 54E1;17,083;17,199;6-7-2015;
305;503_191L_40.9;Schrey & Veit, VICON-AMSA 5RQ;15,074;16,045;2-7-2015;
306;503_191L_40.9;Clipped Tuned, type Corus 54E1;16,497;17,387;22-6-2015;
307;506_259AR_45.5;Clipped Tuned, type Corus 54E1;0,332;0,566;22-6-2015;
308;507_231AV_93.6;Schrey & Veit, VICON-AMSA 5RQ;0,444;0,950;22-6-2015;
309;507_231BL_93.6;Schrey & Veit, VICON-AMSA 5RQ;0,514;1,018;22-6-2015;
310;508_2057R_91.1;Schrey & Veit, VICON-AMSA 5RQ;0,085;0,783;11-6-2015;
311;508_2109R_91.5;Schrey & Veit, VICON-AMSA 5RQ;0,049;0,382;2-7-2015;
312;509_14AR_35.1;Clipped Tuned, type Corus 54E1;0,063;1,313;22-6-2015;
313;509_9AR_35.1;Clipped Tuned, type Corus 54E1;0,327;1,359;22-6-2015;
314;509_9BR_35.1;Schrey & Veit, VICON-AMSA 54VS;5,123;5,657;18-3-2016;
315;515_307AR_51.1;Clipped Tuned, type Corus 54E1;1,145;1,445;22-6-2015;
316;515_307AR_51.1;Schrey & Veit, VICON-AMSA 5RQ;1,695;1,870;22-6-2015;
317;515_307BV_51.2;Clipped Tuned, type Corus 54E1;1,047;1,347;22-6-2015;
318;515_307BV_51.2;Schrey & Veit, VICON-AMSA 5RQ;1,597;1,772;22-6-2015;
319;518_191BV_64.9;Clipped Tuned, type Corus 54E1;0,421;0,796;22-6-2015;
320;518_191BV_64.9;Schrey & Veit, VICON-AMSA 5RQ;1,521;2,096;22-6-2015;
321;518_193BV_64.8;Clipped Tuned, type Corus 54E1;0,476;0,851;22-6-2015;
322;518_193BV_64.8;Schrey & Veit, VICON-AMSA 5RQ;1,576;2,151;22-6-2015;
323;519_95BV_47.3;Schrey & Veit, VICON-AMSA 5RQ;1,439;1,739;22-6-2015;
324;519_95BV_47.3;Schrey & Veit, VICON-AMSA 5RQ;0,739;1,289;22-6-2015;
325;519_97BV_47.4;Schrey & Veit, VICON-AMSA 5RQ;1,378;1,678;22-6-2015;
326;519_97BV_47.4;Schrey & Veit, VICON-AMSA 5RQ;0,678;1,228;22-6-2015;
327;528_3AR_27.9;Clipped Tuned, type Corus 54E1;0,102;0,114;13-4-2015;
328;528_5L_28.0;Clipped Tuned, type Corus 54E1;0,000;0,192;22-6-2015;
