NAAM_ID;NAAM_LRS_VAN;NAAM_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;OBJECT_NAAM;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
545#SJ_994R-w994R#22.018963;0;81382;980c3771-9829-14c2-326c-cedf5a50a1f5;117852;36470;SJ_994R-w994R;SJ_994R;994;STOOTJUK;WISSEL_GW;20220614;C;19
503#w133B/907Q-w901V#42.968700;0;62615;fafc4e6b-6dcc-bf40-e8fe-5f9479b83b08;23010;85625;w133B/907Q-w901V;133B/907;901;WISSEL_EW;WISSEL_GW;20220614;C;19
525#w437AR-w441BL#78.055508;0;147830;3e4146ae-5488-fae2-2ee4-b0ad0b68502a;58126;205956;w437AR-w441BL;437A;441B;WISSEL_GW;WISSEL_GW;20220614;C;19
625#w337AV-w335V#14.917088;0;23782;f59fb26b-c166-e155-0746-c13aa5466e9a;28282;4500;w337AV-w335V;337A;335;WISSEL_GW;WISSEL_GW;20220614;C;19
485#6102#77.133160;0;300004;9c89844d-56ac-447b-e455-f2d6c4621936;34064;334068;6102;14;19;WISSEL_GW;WISSEL_GW;20220614;C;19
504#w909V-w910R#18.063707;0;23473;d7bf61e6-54bf-ae11-e33b-1427db12bcb3;4499;27972;w909V-w910R;909;910;WISSEL_GW;WISSEL_GW;20220614;C;19
517#w251R-s104#0.983475;0;32891;53ac0919-4c6b-b308-c9e9-c59185a207e6;47004;79895;w251R-s104;251;254;WISSEL_GW;Lichtsein;20220614;C;19
803#1001#100.530561;0;216822;a733d225-6ee9-2993-cca8-c6c624ce93bd;35790;252612;1001;24;27;WISSEL_GW;WISSEL_GW;20220614;C;19
624#w195BV-w215BR#32.615911;0;183556;eef6b556-2834-4578-3cb5-e93e7df3f974;4499;188055;w195BV-w215BR;195B;215B;WISSEL_GW;WISSEL_GW;20220614;C;19
166#SJ_2199R-w2199R#144.245704;0;250590;5ba6db56-31f5-eb23-8e30-f6da083aebdf;284655;34065;SJ_2199R-w2199R;SJ_2199R;2199;STOOTJUK;WISSEL_GW;20220614;C;19
557#w13V-w2L#26.937928;0;836370;8ac00dff-1206-1a26-e72d-f50eca084101;870459;34089;w13V-w2L;13;2;WISSEL_GW;WISSEL_GW;20220614;C;19
516#43#2.077825;0;321524;ff0a973d-2084-f284-f8b8-3b568594fda6;34087;355611;43;906;SJ_906R;WISSEL_GW;STOOTJUK;20220614;C;19
922#25#18.285154;0;235013;38413b88-f6a5-3857-2865-cee5449c37f3;34088;269101;25;927;SJ_927R;WISSEL_GW;STOOTJUK;20220614;C;19
011#w311V-w305L#69.843549;0;3625;675d04d6-a89d-4dfe-7439-c2b1b3a5fcfd;37611;33986;w311V-w305L;311;305;WISSEL_GW;WISSEL_GW;20220614;C;19
542#w1233B/1245AP-w1245B/1249AS#29.806418;0;8406;ef0364f4-06ee-a50d-746e-5750b4241056;23009;31415;w1233B/1245AP-w1245B/1249AS;1233B/1245A;1245B/1249A;WISSEL_EW;WISSEL_EW;20220614;C;19
810#7051#1.421650;0;286672;8505bf6b-4c03-4d2e-68a6-aff960ad0eae;23011;309683;7051;7001A/7001B;7003;WISSEL_EW;WISSEL_GW;20220614;C;19
801#w920R-w962R#101.006146;0;96032;32cf6216-dd4d-a937-be34-ea1d71aec4ec;34065;130097;w920R-w962R;920;962;WISSEL_GW;WISSEL_GW;20220614;C;19
533#SJ_1119BR-w1119BR#15.256872;0;32515;4bd54916-b8c6-a49c-fac2-73e89b927180;69007;36492;SJ_1119BR-w1119BR;SJ_1119BR;1119B;STOOTJUK;WISSEL_GW;20220614;C;19
002#w391V-w393V#68.904758;0;2826;992a85c2-706d-18b5-130a-754d78c3fbea;3900;6726;w391V-w393V;391;393;WISSEL_GW;WISSEL_GW;20220614;C;19
537#HB#0.513834;0;575874;4ed90b9b-2f56-d721-f1b3-d3b23f87976b;2276201;2852075;HB;242;270;Lichtsein;Lichtsein;20220614;C;19
520#w141B/149AT-w153BL#0.769972;0;28746;125610df-2e12-35bd-0e98-6144b0ecda7b;25990;54736;w141B/149AT-w153BL;141B/149A;153B;WISSEL_EW;WISSEL_GW;20220614;C;19
048#ES_X0528-ES_X0784#6.658216;0;660679;7926d57e-c46f-4642-b5ef-9f8c3ebeac87;0;660679;ES_X0528-ES_X0784;ES_X0528;ES_X0784;EINDESPOOR;EINDESPOOR;20220614;C;19
666#w4235R-w4237R#47.839865;0;2552;fa924cee-901f-fa90-e18a-f7f84e17ce49;68181;70733;w4235R-w4237R;4235;4237;WISSEL_GW;WISSEL_GW;20220614;C;19
924#w3577R-w3591AV#35.746963;0;15471;ea478ec6-67e8-d84e-b980-90d27b92313d;34064;49535;w3577R-w3591AV;3577;3591A;WISSEL_GW;WISSEL_GW;20220614;C;19
542#w1229B/1243AP-w1243B/1247AS#29.806243;0;8411;13691c79-0002-37c8-3315-e444ee7a9b2b;23010;31421;w1229B/1243AP-w1243B/1247AS;1229B/1243A;1243B/1247A;WISSEL_EW;WISSEL_EW;20220614;C;19
217#w119/123AT-w123BL#49.490488;0;11045;2ebf38ab-3b48-057c-2ab3-edab334d4d72;25990;37035;w119/123AT-w123BL;119/123A;123B;WISSEL_EW;WISSEL_GW;20220614;C;19
520#88#1.468786;0;262191;fc757854-6f48-499f-5995-b759d87784c4;4500;266691;88;985;SJ_985V;WISSEL_GW;STOOTJUK;20220614;C;19
950#w916R-w918V#6.530506;0;2076;83cb09d7-7db1-d59e-1efc-1c5d371d37b9;34065;36141;w916R-w918V;916;918;WISSEL_GW;WISSEL_GW;20220614;C;19
559#LG#41.250034;0;98959;cd5d84de-d82e-3620-4dc4-8f80063161c5;8339892;8438851;LG;328;1012;Lichtsein;Lichtsein;20220614;C;19
