NAAM;PUIC;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;GEOCODE_KM_VAN;NR_BEGIN;PUIC_BEGIN;OBJECTTYPE_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;GEOCODE_KM_TOT;NR_EIND;PUIC_EIND;OBJECTTYPE_EIND;KANTCODE_EIND;LRS_VAN;LRS_TOT;LENGTE_GEOM;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
217V;a32b8dc4-995f-4350-b9e8-0028450c5803;609;;Zutphen;28.757088;217;6b857b8a-5d3b-4c05-8299-a6a7393304b8;WISSEL_GW;V;609;;Zutphen;28.760186;219;3913e0cb-885a-4b74-88f6-cf6685ba5aba;WISSEL_GW;R;3900;7038;3138;20221206;C;20
219V;db021e24-33f3-4436-9f0c-5b9161ed550f;609;;Zutphen;28.800048;219;3913e0cb-885a-4b74-88f6-cf6685ba5aba;WISSEL_GW;V;609;;Zutphen;28.803586;221;c3fe548d-80f3-4b8c-b7f3-00470be0b56d;WISSEL_GW;L;3900;7459;3559;20221206;C;20
261V;16b7a4ec-ec1d-4757-bd8b-7a5cd5481459;609;;Zutphen;28.66908;261;35838c05-6011-4734-b530-08aeaacf45dc;WISSEL_GW;V;609;;Zutphen;28.651921;901;bbeef2c8-79ba-4c01-be3e-08e3ff1ab3bd;WISSEL_GW;V;3900;21458;17558;20221206;C;20
239L;f70efa4b-25f3-4556-8690-9bf61be2cbfd;609;;Zutphen;28.186891;239;674e7f09-73e0-4be9-b43e-f1b393475c78;WISSEL_GW;L;609;;Zutphen;28.205854;241;82115a8a-ea5d-473a-ab9f-75a1a7a60abe;WISSEL_GW;V;36469;55820;19350;20221206;C;20
283V;2e9a005b-620f-4f76-8500-0269efa3e9b9;549;b;Haren;70.89529;283;65cacbc5-afb3-4548-9967-3cab8494730f;WISSEL_GW;V;011;;Assen - Haren;70.236048;293A;341d792d-8d97-470b-bf72-4c430d6f9c76;WISSEL_GW;V;3900;662363;658463;20221206;C;20
2137V;c4099c3e-932e-4cb6-b442-01aa22afa721;552;b;Groningen Losplaats;82.683236;2137;79cda5b7-e27a-4f6a-838c-4067cda7ba78;WISSEL_GW;V;552;b;Groningen Losplaats;83.026721;2173;9dd96a57-8cff-48b5-903f-a42a24f33418;WISSEL_GW;L;3899;347537;343638;20221206;C;20
2R;2723af55-d1f7-4890-a842-baae079b8cbf;850;;Roosendaal Borchwerf;100.778112;2;34ef294b-2a3e-494a-a1df-54e6bafc75c0;WISSEL_GW;R;850;;Roosendaal Borchwerf;100.531237;ES_2R;376b80fc-f840-44eb-a955-5a4fc0d425f1;EINDESPOOR;;34088;270151;236063;20221206;C;20
64L;f7210586-37b6-4728-8b51-0cf19536011f;433;;Sittard - Born;4.758311;64;75c95498-5ca2-4af3-bd1e-84205818938a;WISSEL_GW;L;433;;Sittard - Born;5.370764;84;044dfe2c-6415-48ce-96cc-3ca6c4cb4bab;WISSEL_GW;R;36470;648946;612476;20221206;C;20
317AL;1db78fab-715f-48e5-a8da-0804c494d6f4;553;c;Sittard;22.37356;317A;fa46debf-e912-4f09-a5a4-b5e5fee5586f;WISSEL_GW;L;553;c;Sittard;22.572146;ES_317AL;a5f4e5e2-bf7e-4c95-92f9-871f63639b06;EINDESPOOR;;36493;235071;198578;20221206;C;20
131L;c256a6aa-c1e8-4055-913b-374fe682843f;518;;Weert;63.676414;131;635f6d79-bc6a-48e5-908b-ad381e3dbd94;WISSEL_GW;L;518;;Weert;63.72464;137;8751b77e-b774-4918-9010-98f23d7b1cb4;WISSEL_GW;L;61155;109417;48262;20221206;C;20
25L;698e7eaf-2c1a-4634-b750-5e6558629d68;519;a;Roermond;46.079081;25;ab95f73b-0e13-4ea2-bb2e-27f618e57c4f;WISSEL_GW;L;519;a;Roermond;46.35286;43;38dc4d53-024d-41cb-a4f6-10ff6b438096;WISSEL_GW;V;34065;307515;273450;20221206;C;20
3R;7c5d7f6b-71e7-47ac-8626-72785023e096;131;;Sas van Gent Grens - Terneuzen Aansl.;16.657044;3;e58bcdce-2b28-4644-9575-f6b844343f65;WISSEL_GW;R;131;;Sas van Gent Grens - Terneuzen Aansl.;17.316779;16;84d07235-4443-4edb-b49b-ca2a18b4eb35;WISSEL_GW;L;34065;690773;656708;20221206;C;20
12R;c59953c6-f226-48dc-8c1c-5b0b6595b437;130;a;Axel Aansl. - Terneuzen Aansl.;61.696242;12;9822c8b2-9119-45b8-9af6-5c6f678cd68e;WISSEL_GW;R;130;a;Axel Aansl. - Terneuzen Aansl.;61.725668;13;ebcd51a5-052f-435b-baf6-72ea9d3d69fd;WISSEL_GW;R;34088;63622;29534;20221206;C;20
52AS;383e717e-21ab-437c-8d4f-4d9e210e49a5;817;g;Vlissingen Sloehaven;300.810906;52A/52B;272ebe83-1498-4fcc-9c98-bf67becf3691;WISSEL_EW;S;817;g;Vlissingen Sloehaven;301.491663;53;cf622ace-1ab2-4097-91ad-f19f1bb8a5d2;WISSEL_GW;L;23009;703386;680376;20221206;C;20
801R;606f7b61-1aad-4f58-9b0f-c1af63cdb78e;950;e;Barendrecht Vork - Rotterdam Maasvlakte;41.665682;801;ff44bd2f-69e3-4cd6-97e6-6307e4bcdf1a;WISSEL_GW;R;950;e;Barendrecht Vork - Rotterdam Maasvlakte;41.676602;811;6ae18b1b-e779-4a29-bf7b-807be1e0c1fa;WISSEL_GW;V;34088;45127;11039;20221206;C;20
